0.000000000000000000e+00 9.264019317924976349e-03 5.871644709259271622e-03
1.000000000000000000e+00 8.607705123722553253e-03 6.575536914169788361e-03
2.000000000000000000e+00 7.220171391963958740e-03 9.866583161056041718e-03
3.000000000000000000e+00 8.261107839643955231e-03 1.193032413721084595e-02
4.000000000000000000e+00 7.674791850149631500e-03 4.682262428104877472e-03
5.000000000000000000e+00 8.780627511441707611e-03 1.006057672202587128e-02
6.000000000000000000e+00 9.130155667662620544e-03 5.829040892422199249e-03
7.000000000000000000e+00 8.744685910642147064e-03 4.755116999149322510e-03
8.000000000000000000e+00 8.737984113395214081e-03 6.583196111023426056e-03
9.000000000000000000e+00 8.106012828648090363e-03 4.378695040941238403e-03
1.000000000000000000e+01 8.700531907379627228e-03 9.992163628339767456e-03
1.100000000000000000e+01 9.678312577307224274e-03 6.032696925103664398e-03
1.200000000000000000e+01 9.456474334001541138e-03 7.499548606574535370e-03
1.300000000000000000e+01 1.014636456966400146e-02 6.855075713247060776e-03
1.400000000000000000e+01 8.378904312849044800e-03 1.504167355597019196e-02
1.500000000000000000e+01 9.377845562994480133e-03 6.263606250286102295e-03
1.600000000000000000e+01 9.004422463476657867e-03 7.753552868962287903e-03
1.700000000000000000e+01 7.968578487634658813e-03 6.224307231605052948e-03
1.800000000000000000e+01 9.168043732643127441e-03 7.038412615656852722e-03
1.900000000000000000e+01 8.839314803481101990e-03 1.042257063090801239e-02
2.000000000000000000e+01 8.894446305930614471e-03 1.007238030433654785e-02
2.100000000000000000e+01 9.169178083539009094e-03 5.105530843138694763e-03
2.200000000000000000e+01 9.663289412856101990e-03 1.395458634942770004e-02
2.300000000000000000e+01 9.331743232905864716e-03 7.461717352271080017e-03
2.400000000000000000e+01 9.454226121306419373e-03 8.755572140216827393e-03
2.500000000000000000e+01 8.789077401161193848e-03 6.083934567868709564e-03
2.600000000000000000e+01 9.247580543160438538e-03 8.417176082730293274e-03
2.700000000000000000e+01 9.021794423460960388e-03 1.034672651439905167e-02
2.800000000000000000e+01 9.005078114569187164e-03 8.498694747686386108e-03
2.900000000000000000e+01 1.005146745592355728e-02 1.220195367932319641e-02
3.000000000000000000e+01 9.403165429830551147e-03 8.833391591906547546e-03
3.100000000000000000e+01 9.512065909802913666e-03 8.645886555314064026e-03
3.200000000000000000e+01 8.886201307177543640e-03 1.121622882783412933e-02
3.300000000000000000e+01 9.466793388128280640e-03 9.495036676526069641e-03
3.400000000000000000e+01 8.664267137646675110e-03 8.964517153799533844e-03
3.500000000000000000e+01 8.864169009029865265e-03 8.285409770905971527e-03
3.600000000000000000e+01 9.249390102922916412e-03 8.120925165712833405e-03
3.700000000000000000e+01 1.049174927175045013e-02 9.386811405420303345e-03
3.800000000000000000e+01 8.197126910090446472e-03 4.995157942175865173e-03
3.900000000000000000e+01 1.002245582640171051e-02 9.492487646639347076e-03
4.000000000000000000e+01 9.484587237238883972e-03 9.353155270218849182e-03
4.100000000000000000e+01 9.949067607522010803e-03 1.299523655325174332e-02
4.200000000000000000e+01 9.308815933763980865e-03 8.026980794966220856e-03
4.300000000000000000e+01 9.876172989606857300e-03 1.147510856389999390e-02
4.400000000000000000e+01 8.866119198501110077e-03 1.355823408812284470e-02
4.500000000000000000e+01 8.687694557011127472e-03 1.117015723139047623e-02
4.600000000000000000e+01 9.342736564576625824e-03 6.531183142215013504e-03
4.700000000000000000e+01 9.064949117600917816e-03 1.031353138387203217e-02
4.800000000000000000e+01 9.725509211421012878e-03 4.892896860837936401e-03
4.900000000000000000e+01 1.024639699608087540e-02 1.071053184568881989e-02
5.000000000000000000e+01 1.036113128066062927e-02 1.116558723151683807e-02
5.100000000000000000e+01 9.485834278166294098e-03 1.152105443179607391e-02
5.200000000000000000e+01 9.976554661989212036e-03 7.818449288606643677e-03
5.300000000000000000e+01 9.014809504151344299e-03 7.765572518110275269e-03
5.400000000000000000e+01 8.825043216347694397e-03 6.086875684559345245e-03
5.500000000000000000e+01 8.880061097443103790e-03 6.546277087181806564e-03
5.600000000000000000e+01 8.362728171050548553e-03 6.304472219198942184e-03
5.700000000000000000e+01 8.945862762629985809e-03 7.679964415729045868e-03
5.800000000000000000e+01 9.563650935888290405e-03 1.253994368016719818e-02
5.900000000000000000e+01 8.874782361090183258e-03 6.937049329280853271e-03
6.000000000000000000e+01 8.502329699695110321e-03 5.747448652982711792e-03
6.100000000000000000e+01 7.843784056603908539e-03 6.696076598018407822e-03
6.200000000000000000e+01 9.038440883159637451e-03 8.851154707372188568e-03
6.300000000000000000e+01 9.552492760121822357e-03 5.861479789018630981e-03
6.400000000000000000e+01 8.191602304577827454e-03 4.983906168490648270e-03
6.500000000000000000e+01 8.021035231649875641e-03 1.107780635356903076e-02
6.600000000000000000e+01 9.526302106678485870e-03 7.253119256347417831e-03
6.700000000000000000e+01 8.703205734491348267e-03 3.643061034381389618e-03
6.800000000000000000e+01 8.759315125644207001e-03 8.111169561743736267e-03
